,logFC,AveExpr,t,P.Value,adj.P.Val,B,Score,ABSScore
TFPI2,-0.054994657,5.304343107,-0.923282343,0.356028172,0.494588048,-5.617778151,-0.016814967,0.016814967
BDP1,-0.01684072,6.273378937,-1.853182773,0.064078337,0.134091364,-5.617958551,-0.014695199,0.014695199
SEMA4D,0.013163406,6.22766136,1.836765737,0.066468355,0.137893175,-5.618227845,0.011326547,0.011326547
C9orf122,0.038003203,4.862869463,0.526409512,0.598691805,0.71692544,-5.61857617,0.005492451,0.005492451
PCDHAC2,-0.037090614,5.071771866,-0.704365216,0.481329129,0.614990094,-5.618681679,-0.007831011,0.007831011
CHRNA10,0.012847418,4.829029027,0.465366847,0.641745241,0.752089887,-5.618848258,0.001589614,0.001589614
DGKA,-0.017603532,6.107083293,-1.728629351,0.084108389,0.165193465,-5.619257442,-0.013766087,0.013766087
RAB3GAP2,-0.013453058,6.364390617,-1.903065478,0.057248542,0.122808863,-5.619284071,-0.012252645,0.012252645
KIAA2022,-0.04670181,5.458290535,-1.073304157,0.283330087,0.417876167,-5.619548445,-0.017697763,0.017697763
WIPF3,-0.022416031,4.886523287,-0.50541853,0.613348962,0.729886549,-5.619918757,-0.003065272,0.003065272
MCM9,-0.016839547,5.680416919,-1.308776845,0.190836885,0.310428629,-5.619983373,-0.008555134,0.008555134
HS3ST3B1,-0.004877554,4.654820557,-0.095149258,0.92421066,0.955147902,-5.620112535,-9.72E-05,9.72E-05
EID3,0.020918329,5.253951211,0.918102431,0.358732319,0.497224017,-5.621083018,0.006347623,0.006347623
AMDHD2,-0.019043111,6.010981881,-1.636239703,0.102026901,0.192028055,-5.621902974,-0.013646966,0.013646966
KLHL24,0.01412335,6.326493981,1.891968656,0.058713009,0.12536416,-5.622100702,0.012736813,0.012736813
TUBB8,-0.015676244,4.785485019,-0.36699375,0.713682277,0.808580294,-5.622763126,-0.001446554,0.001446554
PIGZ,-0.020477857,5.739133495,-1.360396164,0.173935955,0.289599622,-5.623356208,-0.011021224,0.011021224
HEATR2,0.011769936,6.277011625,1.863351465,0.062633913,0.131796511,-5.623382739,0.010358674,0.010358674
IL22RA1,-0.020617144,4.813110173,-0.402826621,0.687140756,0.788794239,-5.623481346,-0.002124314,0.002124314
RNF219,0.013690019,6.109562728,1.746084508,0.081028003,0.160369447,-5.623631928,0.0108819,0.0108819
TUBGCP6,-0.014224864,6.226698185,-1.820704477,0.068877244,0.141654012,-5.624075183,-0.012073653,0.012073653
PTPN20B,0.052550721,5.104059,0.788810761,0.430363721,0.567631187,-5.624084317,0.012923996,0.012923996
TAS1R3,0.02510473,4.880793982,0.526595095,0.598562932,0.716858156,-5.624357621,0.00362931,0.00362931
RADIL,-0.034621922,5.496251796,-1.11356673,0.265667058,0.398258301,-5.624426631,-0.013843062,0.013843062
ZNF609,-0.013887442,6.37845779,-1.906889046,0.056751038,0.12198041,-5.624800729,-0.012689093,0.012689093
PLCXD2,0.027116359,5.144527913,0.811210889,0.417390254,0.554767987,-5.624893012,0.006938767,0.006938767
SNRK,-0.011121921,6.288465659,-1.860756581,0.062999921,0.132382384,-5.624955034,-0.009766936,0.009766936
TM6SF2,-0.001773462,4.657417329,-0.0387837,0.969068683,0.982113742,-5.625185242,-1.39E-05,1.39E-05
NGEF,0.037748619,5.626614764,1.285468317,0.198853293,0.320220524,-5.625874686,0.018668611,0.018668611
NUP133,-0.011889972,6.407633833,-1.920214802,0.055045223,0.119223347,-5.626014743,-0.010982038,0.010982038
SCLY,-0.012990848,5.971652187,-1.599109124,0.11003475,0.203777621,-5.626057907,-0.008974643,0.008974643
SCARA5,-0.021098305,4.729303508,-0.254109605,0.799450307,0.872101415,-5.626177989,-0.001253936,0.001253936
SPOCD1,0.035274424,5.552616117,1.209729744,0.226598384,0.353583824,-5.626606042,0.015926671,0.015926671
JPH3,-0.016719867,4.768253123,-0.323818712,0.746126389,0.833891044,-5.626755415,-0.001319042,0.001319042
LOC402377,-0.01481723,4.792415257,-0.365274392,0.714964886,0.809614925,-5.627457605,-0.001359058,0.001359058
HECTD3,0.009739871,6.341323204,1.894525965,0.058372784,0.124772775,-5.627930452,0.008803676,0.008803676
ANKDD1A,0.016016854,5.564494718,1.209418283,0.226717919,0.353742363,-5.628308543,0.007228613,0.007228613
FCGR3A,0.021505199,6.376908985,1.914919578,0.055717864,0.120310331,-5.628490517,0.019778268,0.019778268
ACP1,0.011779489,6.415302683,1.929000929,0.053944097,0.117276239,-5.62850571,0.01096423,0.01096423
SSPN,-0.020904729,6.161801076,-1.7671888,0.077426758,0.154610529,-5.629297597,-0.016948738,0.016948738
GRIN2C,-0.024465959,4.980811404,-0.593349793,0.553048341,0.67832336,-5.629526605,-0.004124061,0.004124061
DNAI1,0.012685924,4.690625885,0.183434076,0.854485504,0.908226111,-5.630179928,0.000530348,0.000530348
RNF135,-0.013615656,6.219118053,-1.8122631,0.070171806,0.14349356,-5.630525818,-0.011480279,0.011480279
TFB1M,0.01296584,5.896494538,1.537431989,0.124426294,0.224342655,-5.630831054,0.008415973,0.008415973
YPEL3,-0.017314354,6.280760974,-1.849965793,0.06454099,0.134846246,-5.630965087,-0.015066278,0.015066278
NLE1,0.01374523,6.044144215,1.682813536,0.092646769,0.178408848,-5.631354714,0.010289454,0.010289454
CHST9,0.03812837,4.8631382,0.503412808,0.614757739,0.731016181,-5.631359159,0.005188242,0.005188242
SLC6A20,0.02132263,4.860735812,0.484288026,0.628261505,0.741826566,-5.631512014,0.002765494,0.002765494
KDELC1,0.018986438,5.856422281,1.500666471,0.133680075,0.237209835,-5.632092472,0.011864005,0.011864005
DNAJB1,0.010865832,6.541753199,1.977983465,0.048137452,0.107313658,-5.632262787,0.01053274,0.01053274
KIAA1211,-0.034095821,5.808233257,-1.414932606,0.157323205,0.268326867,-5.632362923,-0.019480164,0.019480164
CLEC1A,-0.019524049,5.445702475,-1.067136586,0.286104543,0.420867486,-5.63244779,-0.007338204,0.007338204
ZP3,0.021580182,5.92750426,1.573057518,0.11594422,0.21246746,-5.632474173,0.014517152,0.014517152
ZNF674,0.01217789,5.637483081,1.274587335,0.202678804,0.324710804,-5.632562888,0.005948939,0.005948939
C9orf80,-0.013744683,6.000781996,-1.623751037,0.104666793,0.195803538,-5.633046475,-0.009733702,0.009733702
TRAF3IP2,0.014599956,6.233405118,1.832783719,0.06705901,0.13881098,-5.633135841,0.012520574,0.012520574
ALOXE3,-0.006876985,4.692402973,-0.117793684,0.906248986,0.944009361,-5.63422653,-0.000172088,0.000172088
POT1,-0.013288846,6.203309231,-1.799074542,0.072234349,0.146767875,-5.634806863,-0.011074512,0.011074512
ELP2P,0.012237413,4.833277477,0.428563063,0.668310885,0.773571516,-5.63506036,0.001364466,0.001364466
C1orf133,0.024400549,5.29311386,0.940941897,0.346906133,0.4844406,-5.635402323,0.007680304,0.007680304
RTN4RL2,0.024160275,5.481108879,1.124049882,0.261195451,0.393318595,-5.635907283,0.009791085,0.009791085
CD209,0.030452818,5.4662435,1.115055301,0.26502891,0.397684811,-5.636544535,0.012195166,0.012195166
CASK,0.015098109,6.371149002,1.90589371,0.056880198,0.122151542,-5.636856805,0.013786099,0.013786099
SYF2,-0.009258261,6.314598994,-1.8691899,0.061816839,0.130522066,-5.637363496,-0.008187229,0.008187229
C2CD4A,-0.020999818,4.755330742,-0.253362885,0.800027107,0.872336763,-5.637538236,-0.001245622,0.001245622
DTX4,0.026170364,6.09387457,1.732466922,0.083423142,0.164190928,-5.637747122,0.020534598,0.020534598
ZNF641,-0.022443362,5.838381409,-1.450462648,0.147166207,0.2544577,-5.637757941,-0.013339984,0.013339984
PDS5A,0.011476823,6.519205822,1.966381437,0.049463029,0.109538368,-5.638169833,0.011022728,0.011022728
SEMA5B,0.023456327,5.382584401,1.024555189,0.305760115,0.441484392,-5.638225461,0.008328982,0.008328982
BMP2,0.028505379,5.244860346,0.894299556,0.371324039,0.510389204,-5.638354761,0.008326379,0.008326379
LRRC55,-0.025461249,5.138141023,-0.750979588,0.45279828,0.58914552,-5.638443874,-0.00585042,0.00585042
ZCCHC18,-0.013628629,4.814782138,-0.366202414,0.714272498,0.809016654,-5.638486205,-0.001254414,0.001254414
GOLT1A,-0.036879352,5.735389181,-1.334889046,0.182141961,0.299580561,-5.639146722,-0.019305838,0.019305838
PLXNC1,-0.04705595,5.9493217,-1.54724547,0.122042847,0.221157111,-5.639460426,-0.030835721,0.030835721
IPO7,0.013233945,6.559313356,1.981555019,0.047735453,0.106586123,-5.639877663,0.012867356,0.012867356
LOC80154,0.021837128,6.107720477,1.738890784,0.082286218,0.162393626,-5.640030567,0.017238907,0.017238907
STARD4,0.022354832,5.464437688,1.103302482,0.270096153,0.403208741,-5.640300183,0.008818312,0.008818312
C1QC,0.019600237,6.397982235,1.917471682,0.055392825,0.119741803,-5.64042281,0.018066601,0.018066601
OGG1,0.011154212,6.064822586,1.695064842,0.090298064,0.174791886,-5.640742981,0.008449079,0.008449079
CTSW,0.041440457,5.47235134,1.124221682,0.261122606,0.393268947,-5.641689673,0.016796246,0.016796246
YIPF5,-0.010457633,6.330089348,-1.874589291,0.061069087,0.129303107,-5.641978084,-0.009290468,0.009290468
KLHL31,-0.024979438,5.304575056,-0.914185993,0.360785435,0.499402997,-5.642152814,-0.007532521,0.007532521
MYBPC1,-0.0318105,4.801966469,-0.317510977,0.750905935,0.837713905,-5.642325603,-0.002446363,0.002446363
NWD1,-0.021380682,4.789744704,-0.304649781,0.76068074,0.844789431,-5.642686667,-0.001566168,0.001566168
BLZF1,-0.013726288,6.242976063,-1.820999698,0.068832327,0.141576397,-5.643819785,-0.011653744,0.011653744
GPBAR1,-0.010284366,4.788940647,-0.306741209,0.759088554,0.843756559,-5.644459046,-0.00075881,0.00075881
CAPZA1,0.009673322,6.543935048,1.972306242,0.048782316,0.108432633,-5.644581705,0.009333208,0.009333208
B3GALT4,-0.019048836,5.939499192,-1.549615003,0.121472737,0.22036694,-5.644818511,-0.012512296,0.012512296
PSTK,0.014935916,5.522877565,1.152988796,0.249122924,0.379727346,-5.645011969,0.006280973,0.006280973
KBTBD8,0.022615096,5.383420218,1.019658195,0.308076719,0.443887019,-5.645337687,0.007976968,0.007976968
LRRC10B,0.035318602,5.296574238,0.939511024,0.347639658,0.485224473,-5.64540938,0.011092065,0.011092065
SPSB4,0.01253983,4.749083327,0.246321179,0.805471767,0.876071349,-5.646174214,0.000720545,0.000720545
HINT3,0.012896855,6.3081749,1.868630399,0.061894755,0.130630648,-5.646433397,0.011400238,0.011400238
CCL28,-0.050793721,5.57619337,-1.163099087,0.244998709,0.374960613,-5.64665977,-0.021638854,0.021638854
UBE3C,0.011164716,6.460227866,1.938052389,0.052829029,0.115347863,-5.647154442,0.010472397,0.010472397
KIAA1529,-0.027505051,5.624954347,-1.224189147,0.221098489,0.346729822,-5.647296262,-0.012652566,0.012652566
C3orf70,0.027241826,5.639575965,1.27379999,0.202957686,0.32502465,-5.648176109,0.013296291,0.013296291
WDR81,-0.01270523,6.234400398,-1.813099422,0.070042663,0.143332943,-5.648577244,-0.010718818,0.010718818
TEC,0.018444055,5.370158326,1.000293158,0.317351283,0.453672353,-5.649127158,0.006331064,0.006331064
GPLD1,-0.001300548,4.70928545,-0.025600804,0.9795796,0.988601054,-5.649272057,-6.48E-06,6.48E-06
BTBD7,-0.013219194,6.263155821,-1.831142968,0.067303639,0.139216053,-5.649868943,-0.011319737,0.011319737
ACRBP,-0.019309286,5.264034916,-0.865661843,0.38683233,0.525798796,-5.650620727,-0.005390774,0.005390774
PRMT10,-0.011958086,5.955897951,-1.569163831,0.116848516,0.213747285,-5.650966179,-0.008013106,0.008013106
C17orf42,0.012609565,5.896562309,1.524016896,0.127743102,0.228941731,-5.651009509,0.00807359,0.00807359
ARHGEF33,0.005368396,4.731286652,0.159205944,0.873530883,0.921905378,-5.651047269,0.000189578,0.000189578
SCN8A,0.032915957,5.20368453,0.839298464,0.401453233,0.540179713,-5.651591976,0.008803759,0.008803759
LYVE1,-0.028996654,5.358170721,-0.953687307,0.340415881,0.477812799,-5.651772281,-0.009300451,0.009300451
TMEM108,0.035036543,5.399972883,1.038017101,0.299451467,0.435082512,-5.651786071,0.012663201,0.012663201
NBPF1,-0.019785444,6.185854267,-1.773560127,0.076365572,0.153080376,-5.652137039,-0.016126729,0.016126729
MYEF2,-0.028477795,6.129154505,-1.721413887,0.085409147,0.167232026,-5.652325696,-0.02211815,0.02211815
PIGN,-0.015142718,6.237865079,-1.812193115,0.070182622,0.1435008,-5.65248506,-0.012767517,0.012767517
METTL2B,0.012533504,6.05653393,1.680396228,0.093115943,0.179007875,-5.653703968,0.00936413,0.00936413
SAT2,-0.015494859,6.148731761,-1.743555233,0.081468591,0.161115696,-5.655415912,-0.012285287,0.012285287
GOLGA6L5,0.02204985,5.064096357,0.677207352,0.498392612,0.631352789,-5.656018226,0.00440397,0.00440397
CECR6,-0.021759458,5.247236507,-0.837068108,0.402705223,0.541087001,-5.657402517,-0.005803963,0.005803963
CCDC57,-0.017802614,6.138888816,-1.732205189,0.083469734,0.164233466,-5.658415384,-0.013966834,0.013966834
SLC35F1,0.005907776,4.745054056,0.152245436,0.879016536,0.925308837,-5.658534583,0.000199171,0.000199171
TNFAIP8L1,-0.016246747,5.884416432,-1.487084357,0.137230433,0.241835995,-5.65853668,-0.010015779,0.010015779
NPTX1,0.014383347,4.783608355,0.274646066,0.783630983,0.860737339,-5.658607419,0.000936778,0.000936778
B3GALT5,-0.033614967,4.927974234,-0.465982979,0.641304269,0.75180572,-5.659033218,-0.004164705,0.004164705
PPARGC1A,0.032264176,5.088418775,0.708167806,0.478965603,0.613201566,-5.659632103,0.006852806,0.006852806
CD36,-0.043001773,6.17129175,-1.746738662,0.080914368,0.160196318,-5.659989599,-0.034201352,0.034201352
HS6ST3,-0.07202581,5.362160828,-0.919674666,0.357910178,0.496374865,-5.660202194,-0.021909547,0.021909547
SAMHD1,0.020819427,6.263151248,1.838968109,0.066143523,0.137334841,-5.660630551,0.017950911,0.017950911
HAND2,-0.027360236,5.207734396,-0.790289954,0.429499858,0.566711747,-5.6608501,-0.006748068,0.006748068
HCK,0.020861833,6.038107551,1.664427374,0.096263474,0.18368937,-5.660857902,0.015352556,0.015352556
C1QL3,-0.00599783,4.745345996,-0.099284215,0.920927629,0.953208662,-5.660935539,-0.000124827,0.000124827
C1orf175,-0.006072416,4.751628571,-0.136012334,0.89183219,0.934469585,-5.660966022,-0.000178741,0.000178741
EIF3G,-0.012874227,6.453513532,-1.921457367,0.054888368,0.118961989,-5.661004631,-0.011903404,0.011903404
POU2F3,0.02755322,5.716952092,1.342339387,0.179715904,0.296668861,-5.661198447,0.014540607,0.014540607
DNM1P35,0.018200457,5.018909934,0.613550957,0.539617404,0.667123365,-5.661222249,0.003199528,0.003199528
SLC9A3R2,-0.019585102,6.389433028,-1.890845653,0.058862934,0.125657075,-5.661299331,-0.017642516,0.017642516
TM9SF3,0.010287995,6.615467784,1.991409598,0.046640888,0.104623785,-5.661685463,0.010086037,0.010086037
C1RL,-0.014777746,6.283308954,-1.835946623,0.066589503,0.138057678,-5.661934862,-0.012707967,0.012707967
PHACTR2,0.016691753,6.177468927,1.779332739,0.075414387,0.151543274,-5.662345752,0.01367828,0.01367828
CDS2,-0.012485812,6.287593214,-1.839009569,0.066137421,0.137334841,-5.662578254,-0.010765508,0.010765508
NUDT22,-0.016582506,6.081737957,-1.680373334,0.093120396,0.179007875,-5.662927413,-0.012389252,0.012389252
RMI1,0.015982077,6.115767893,1.729665226,0.083922972,0.164894973,-5.662988949,0.012510652,0.012510652
ZBTB33,0.013584663,6.306005334,1.858735295,0.063286247,0.132870805,-5.663289679,0.011907914,0.011907914
ST6GAL2,-0.039431023,5.829058735,-1.411136592,0.158439078,0.269856732,-5.66336714,-0.022430998,0.022430998
PTPN7,0.027681105,5.812848862,1.439623964,0.150210006,0.258564654,-5.663956595,0.016260735,0.016260735
ENPP6,-0.004005341,4.749350838,-0.090892479,0.927591764,0.957411522,-5.664856918,-7.57E-05,7.57E-05
ZNF573,-0.020058138,5.225833219,-0.808035727,0.419215049,0.55663229,-5.664922448,-0.005103424,0.005103424
ZNF215,0.021043118,4.985099206,0.569711017,0.568970284,0.691919781,-5.66506848,0.003365726,0.003365726
CORO1B,-0.014649366,6.445243248,-1.914530029,0.055767618,0.120391404,-5.666320182,-0.013468693,0.013468693
DAP3,0.01082583,6.518338222,1.951211872,0.051242333,0.112658868,-5.66668942,0.010265427,0.010265427
SPIN2B,-0.014575132,5.749899122,-1.342363083,0.179708227,0.296668861,-5.666904845,-0.007691706,0.007691706
ACTN1,0.012253791,6.621626556,1.99161579,0.046618213,0.104600644,-5.666916929,0.012014421,0.012014421
MAPKAPK2,-0.012498459,6.591317411,-1.973390061,0.048658649,0.108218724,-5.667442413,-0.012069732,0.012069732
SLC25A11,0.011836288,6.299530426,1.851787542,0.064278656,0.134424988,-5.667837011,0.010315561,0.010315561
FLJ37201,0.006932068,4.786019094,0.224752051,0.822206821,0.886958138,-5.668038993,0.000361139,0.000361139
HBS1L,0.012634849,6.344453112,1.875583979,0.060932156,0.129110192,-5.668113875,0.01123288,0.01123288
GEMIN7,0.012420359,6.061584442,1.676465999,0.093882832,0.18017502,-5.66820873,0.00924454,0.00924454
CCDC144A,0.021609512,4.846373184,0.367924061,0.712988619,0.808072886,-5.668242002,0.001999949,0.001999949
C14orf49,-0.024704749,5.315807128,-0.894881241,0.371013092,0.510016952,-5.668677485,-0.007224049,0.007224049
TLL2,-0.013104495,4.823297827,-0.278888445,0.780373953,0.858450518,-5.668800278,-0.000868628,0.000868628
VLDLR,0.026895959,6.003895171,1.629961818,0.103347231,0.193831332,-5.669211085,0.019165416,0.019165416
HIST1H3H,0.03461994,5.033690143,0.623405246,0.533125537,0.661445421,-5.670155084,0.006214486,0.006214486
GDF6,0.007030447,4.765053983,0.15103338,0.879972372,0.925780311,-5.67024951,0.000235464,0.000235464
IFT122,-0.0144734,6.314425721,-1.848636208,0.06473301,0.135145917,-5.671899765,-0.012580237,0.012580237
ZNF12,-0.01122451,6.259126392,-1.817212704,0.069410337,0.142349646,-5.671923131,-0.00950316,0.00950316
TRIP11,-0.015395991,6.31085896,-1.846228673,0.065081909,0.135701973,-5.672330646,-0.013354696,0.013354696
SUMF1,-0.01424788,6.342617446,-1.863254141,0.062647609,0.131796511,-5.672924361,-0.012539504,0.012539504
LOC254559,-0.039236482,5.602129743,-1.170767772,0.241902634,0.371556569,-5.673372164,-0.016870708,0.016870708
KCNQ5,-0.040139515,5.294218116,-0.854081863,0.393214005,0.532154116,-5.67363373,-0.010996725,0.010996725
PRMT5,0.011927929,6.37966888,1.889312638,0.05906811,0.125982024,-5.673664488,0.010731455,0.010731455
LTB4R,-0.019686661,5.889106892,-1.478799203,0.139431655,0.244600623,-5.674463704,-0.012039229,0.012039229
LOC723972,-0.00747757,4.880124225,-0.372173887,0.709822897,0.805549545,-5.67475182,-0.000702202,0.000702202
QPCT,0.025268394,5.925175585,1.545649013,0.122428134,0.221590654,-5.67508811,0.016536864,0.016536864
BCL2L14,0.022875388,4.872513479,0.39333648,0.694134253,0.793681418,-5.675128773,0.002295632,0.002295632
SYT8,-0.01091764,4.781265568,-0.125625043,0.900047795,0.940019945,-5.675776883,-0.00029328,0.00029328
FOXF1,0.011664189,4.864249954,0.360402488,0.718603605,0.812755511,-5.676400264,0.001050245,0.001050245
RELN,0.014117107,4.789997423,0.211165361,0.832790709,0.893752214,-5.676477879,0.000688673,0.000688673
MRPL49,0.011151874,6.40635273,1.899564294,0.05770728,0.123577906,-5.676719198,0.010126562,0.010126562
AUTS2,-0.0186227,6.369461369,-1.873311347,0.061245386,0.129562475,-5.67678674,-0.016528033,0.016528033
LDLRAD3,-0.026093047,6.277371508,-1.819262997,0.069096907,0.141933428,-5.677153358,-0.022124694,0.022124694
UBE2Q2P1,0.010113098,4.819196664,0.268531058,0.788332371,0.86440914,-5.677303966,0.000639963,0.000639963
CHKB-CPT1B,-0.020819681,5.989244657,-1.578606269,0.114665068,0.210612577,-5.677401175,-0.014084841,0.014084841
ST6GALNAC5,0.041287234,5.753472873,1.374687252,0.169460839,0.283970354,-5.67853649,0.022572845,0.022572845
YWHAB,0.008142022,6.685573642,2.009070352,0.044732172,0.101174418,-5.678744219,0.008100736,0.008100736
SMARCA1,-0.024445235,6.275769759,-1.817709827,0.069334234,0.142311715,-5.678896433,-0.020699231,0.020699231
SLC29A4,0.030544086,5.690747702,1.304894612,0.192155295,0.311955819,-5.679477725,0.015452464,0.015452464
LOC219347,-0.019143157,5.63409457,-1.21100729,0.226108547,0.352959092,-5.679696003,-0.008657983,0.008657983
ALOX5AP,-0.022913719,6.041045576,-1.627666903,0.103833265,0.194507534,-5.679808346,-0.016293111,0.016293111
SAPS1,0.00991601,6.444260608,1.913860937,0.05585316,0.120483769,-5.679925372,0.009113522,0.009113522
MGAT5B,0.027338286,4.975080295,0.530800817,0.595645762,0.714318619,-5.680037667,0.003994343,0.003994343
FBXO24,0.008712053,4.845122217,0.311130812,0.755750116,0.841547422,-5.680084587,0.000652719,0.000652719
DCHS2,0.026954007,4.994419733,0.556716902,0.577814875,0.699206521,-5.680215692,0.004188505,0.004188505
TMEM231,0.019469432,5.911600849,1.523301251,0.127921958,0.229199802,-5.680257216,0.012456265,0.012456265
RANGRF,-0.016957911,6.0599735,-1.648263801,0.099535609,0.188601333,-5.680851175,-0.012285247,0.012285247
ARRDC1,-0.015750657,6.312184834,-1.841961581,0.06570411,0.136667043,-5.68096604,-0.013613863,0.013613863
PRSS8,-0.024925126,6.54417985,-1.94397388,0.052110033,0.114093729,-5.682424344,-0.023497869,0.023497869
HEXB,-0.010400095,6.464785154,-1.915448565,0.055650362,0.120216835,-5.682715018,-0.009568448,0.009568448
MSMB,-0.020366157,4.835030954,-0.23405388,0.814979306,0.882394709,-5.682897424,-0.001106638,0.001106638
LOC143666,0.019202161,5.221811449,0.805734669,0.420540418,0.557845309,-5.683483121,0.004867483,0.004867483
ARSI,0.0349502,5.600160467,1.212090886,0.225693668,0.352506738,-5.683566422,0.015826589,0.015826589
?|645851,0.006128366,4.795186012,0.157304035,0.875029205,0.922942681,-5.684088875,0.000213422,0.000213422
CTAGE5,-0.013347486,6.299987438,-1.834025392,0.06687437,0.1385315,-5.684293564,-0.011458169,0.011458169
C12orf45,0.014840337,5.90209589,1.509510076,0.13140688,0.234231041,-5.684333842,0.009354689,0.009354689
MYSM1,-0.025083163,5.809983633,-1.386392062,0.165860434,0.279146508,-5.68435304,-0.013900281,0.013900281
LOC613037,-0.00030415,4.77876013,-0.004614405,0.996318945,0.998089954,-5.684685545,-2.53E-07,2.53E-07
TOE1,0.011172714,6.005452573,1.612004722,0.107199045,0.199594219,-5.685205403,0.007819246,0.007819246
ZFP91,0.011736325,6.452553114,1.915090061,0.055696102,0.120276507,-5.685415949,0.010795297,0.010795297
GHR,-0.033010351,5.950440311,-1.526734792,0.127065615,0.227968223,-5.687024614,-0.021196795,0.021196795
FAM186B,0.005964238,4.828792778,0.239816403,0.810509681,0.879438003,-5.687509368,0.000332773,0.000332773
OSR2,0.033229148,5.864867678,1.481447408,0.138725134,0.243599507,-5.687533946,0.020380221,0.020380221
NPC1L1,0.00348076,4.786441225,0.059268163,0.952747455,0.972282266,-5.687536655,4.25E-05,4.25E-05
ALDH8A1,0.001682898,4.785292161,0.039294749,0.968661312,0.981755325,-5.687616724,1.35E-05,1.35E-05
OSMR,-0.026173533,6.219605094,-1.775120016,0.076107579,0.152640773,-5.68806806,-0.021366226,0.021366226
FKBP1AP1,-0.000362214,4.787713995,-0.008127921,0.993516152,0.996443083,-5.688548436,-5.61E-07,5.61E-07
ABCA17P,-0.006901692,4.817975607,-0.172509735,0.863063152,0.914477905,-5.688868285,-0.000267971,0.000267971
TIGD3,-0.016880415,5.082890304,-0.611671015,0.540860368,0.668031983,-5.689247832,-0.002957495,0.002957495
PPP2R2B,-0.002227249,4.791047339,-0.052863312,0.957848784,0.97525253,-5.68931804,-2.42E-05,2.42E-05
LOC100130015,-0.01551506,5.130936399,-0.669259779,0.503446365,0.63567274,-5.689849012,-0.003052843,0.003052843
ARGLU1,-0.014195978,6.351156457,-1.858486813,0.06332152,0.132930713,-5.689932984,-0.012440996,0.012440996
MLL3,-0.014800537,6.454837178,-1.906330748,0.056823456,0.122069556,-5.690065721,-0.013518702,0.013518702
LANCL2,0.013573465,6.188173729,1.769712384,0.077005009,0.154002211,-5.690250254,0.011028075,0.011028075
LOC100271722,0.018504993,5.316261761,0.897633417,0.369544077,0.508564636,-5.690583988,0.005434062,0.005434062
TMEM200C,0.003709014,4.792329388,0.073336611,0.941549327,0.965685341,-5.691004654,5.62E-05,5.62E-05
LOC144571,0.014500882,5.283763551,0.860058938,0.389912129,0.528701227,-5.691590785,0.004013695,0.004013695
LMCD1,-0.017632247,6.278659925,-1.815730928,0.069637584,0.142741489,-5.691627234,-0.014907179,0.014907179
C19orf43,0.012850066,6.408483604,1.89292136,0.058586069,0.125113342,-5.691918791,0.011599708,0.011599708
CCDC34,0.016951702,6.067035518,1.66946713,0.095261041,0.182235726,-5.69205571,0.01253352,0.01253352
CORO7,-0.013269555,6.221182812,-1.779050503,0.075460666,0.151593421,-5.692151142,-0.010872007,0.010872007
TBC1D20,-0.011080235,6.353345879,-1.859417918,0.063189429,0.132709912,-5.692281465,-0.009718437,0.009718437
CRTAC1,-0.018058588,4.869031146,-0.280487516,0.779147285,0.857531537,-5.692354931,-0.001205409,0.001205409
PITX2,-0.008021113,4.819343345,-0.157196989,0.875113549,0.922955609,-5.692363973,-0.000279289,0.000279289
C10orf55,0.006304513,4.815846872,0.170845266,0.864371518,0.915519958,-5.692917213,0.000241666,0.000241666
HNRNPUL1,0.009094575,6.631310479,1.981393882,0.047753529,0.106614415,-5.693036656,0.008841601,0.008841601
TAF1C,0.014430133,6.181689393,1.76328578,0.078082751,0.155589683,-5.693208892,0.011659825,0.011659825
PNKP,-0.015209904,6.147163102,-1.720582527,0.08556006,0.167494262,-5.693664428,-0.011802887,0.011802887
SLC47A1,-0.028267713,5.380543093,-0.930820745,0.352115844,0.49005045,-5.694066046,-0.008756184,0.008756184
IQSEC3,-0.009772797,4.848468216,-0.237137635,0.812586672,0.88096472,-5.694073606,-0.000537909,0.000537909
MFHAS1,0.023364895,5.915103601,1.52271755,0.128067981,0.229419756,-5.694287937,0.014938794,0.014938794
IPP,-0.01745767,5.98971482,-1.570949691,0.11643307,0.213185028,-5.694405993,-0.011718344,0.011718344
NDUFS3,0.011665868,6.36538292,1.871235915,0.061532602,0.130022185,-5.694693783,0.010335755,0.010335755
PLD6,0.020076389,5.840161668,1.440053957,0.150088343,0.258468009,-5.694793099,0.01179675,0.01179675
CNOT7,-0.012325985,6.38529175,-1.873256399,0.061252976,0.129562475,-5.694890974,-0.010939568,0.010939568
WHAMM,-0.011374319,6.056168295,-1.640375969,0.101164354,0.190807696,-5.69512568,-0.008182732,0.008182732
TMEM85,0.010386714,6.360531556,1.86828973,0.061942236,0.130660957,-5.695208743,0.009180341,0.009180341
CCNK,0.009209377,6.319271543,1.846691284,0.065014748,0.135604938,-5.695821112,0.007991202,0.007991202
NDNL2,-0.011719394,6.083236628,-1.665092824,0.09613063,0.183471377,-5.695872599,-0.008630533,0.008630533
CXorf57,-0.024791074,5.087071717,-0.600445321,0.548312168,0.674544883,-5.696236082,-0.004239005,0.004239005
CSTF2,0.012099712,6.112069821,1.703913885,0.08863163,0.172319014,-5.696618676,0.009240149,0.009240149
CHMP4A,-0.0144319,6.303167965,-1.828604632,0.067683542,0.139767364,-5.696700563,-0.012333418,0.012333418
