,logFC,AveExpr,t,P.Value,adj.P.Val,B,Score,ABSScore
CHMP1B,0.018516091,6.388080021,3.33974805,0.00086186,0.004182087,-1.922959156,0.044042503,0.044042503
TMEM121,-0.082109688,5.607137377,-3.014653883,0.002621638,0.010394335,-1.923058736,-0.162840204,0.162840204
BMPR1B,-0.1754875,5.985629006,-3.12822849,0.001796957,0.007650546,-1.924550928,-0.371385524,0.371385524
MED10,0.023146992,6.124763808,3.253045442,0.001170526,0.005390534,-1.925094861,0.052505901,0.052505901
FAM189A2,-0.127849372,5.678933711,-3.025798988,0.00252756,0.010104604,-1.927180543,-0.255120954,0.255120954
GDA,0.23727644,2.878102581,2.93985426,0.003340597,0.01263353,-1.927921115,0.450463459,0.450463459
FAM124B,-0.068525044,5.321775679,-2.951848051,0.003214371,0.012237689,-1.929343035,-0.13104048,0.13104048
ZNF252,0.027698531,6.265532309,3.304721348,0.00097612,0.004643986,-1.929747341,0.064623694,0.064623694
LCA5L,-0.047362794,5.682179604,-3.043418676,0.002385118,0.009650553,-1.930852568,-0.095457238,0.095457238
B4GALT5,0.026016323,6.398232806,3.341093977,0.000857727,0.004166844,-1.931123016,0.061923862,0.061923862
WNK3,0.136151242,4.867052521,2.917497187,0.003588019,0.013381298,-1.933531529,0.255079592,0.255079592
OC90,0.149903923,2.191513131,2.941991253,0.003317781,0.012569212,-1.933898728,0.284921177,0.284921177
FAM66E,-0.202506349,2.833198728,-2.939958819,0.003339477,0.012633523,-1.934226036,-0.384453347,0.384453347
SSBP1,0.020531299,6.348331932,3.326085978,0.000904863,0.004361787,-1.934912893,0.048460757,0.048460757
SETD8,0.021062167,6.274582075,3.304490097,0.000976919,0.004646667,-1.93575545,0.049135055,0.049135055
CHAT,0.075875991,1.99150182,2.940493063,0.003333762,0.012619161,-1.937429174,0.144086194,0.144086194
ZFP112,-0.036242459,5.827200486,-3.097703367,0.00199125,0.00831268,-1.937969392,-0.0753937,0.0753937
GCFC1,0.021586222,6.212229682,3.282785279,0.001054668,0.004941406,-1.938570831,0.049781055,0.049781055
NDUFS5,0.024814953,6.455249033,3.352001149,0.000824913,0.004028572,-1.939000607,0.059428061,0.059428061
JUNB,-0.033183733,6.446274522,-3.34090324,0.000858312,0.004167238,-1.939114429,-0.07898232,0.07898232
C20orf12,-0.043065621,5.783856112,-3.077239327,0.002132119,0.0088024,-1.941377871,-0.088517031,0.088517031
C14orf115,0.211814463,2.396613331,2.937412099,0.003366846,0.012710247,-1.942606385,0.401567603,0.401567603
PPARA,0.040454444,6.01300338,3.202708664,0.00139379,0.006235543,-1.943402033,0.089207135,0.089207135
OR2A9P,-0.037497908,5.81619013,-3.090538712,0.002039567,0.008481372,-1.944461086,-0.077678187,0.077678187
MRPS23,0.025525807,6.283682289,3.304276076,0.000977659,0.004647522,-1.948112885,0.059546055,0.059546055
NXPH1,-0.341997234,3.78052313,-2.926945991,0.003481483,0.01304564,-1.94868593,-0.644505625,0.644505625
SMOC1,0.139755511,5.317240104,2.969628637,0.003035237,0.011681961,-1.94924441,0.270075326,0.270075326
CALCR,-0.188907052,4.144320546,-2.924867668,0.003504666,0.013117333,-1.950639528,-0.355552247,0.355552247
BUD13,0.020601656,6.110555747,3.238467158,0.001231521,0.005623091,-1.95070616,0.04635424,0.04635424
JRKL,0.042545154,5.95367965,3.173650794,0.001539951,0.006757628,-1.950801622,0.092331735,0.092331735
MACROD2,-0.077813384,5.591885904,-3.002340346,0.002729298,0.010735203,-1.950895672,-0.153229317,0.153229317
TGM2,0.034408911,6.375223213,3.329894719,0.000892679,0.004311481,-1.9534016,0.081389927,0.081389927
SKP1,-0.019686983,6.624551213,-3.379120846,0.000748308,0.003724545,-1.954512921,-0.047818238,0.047818238
